Row.names	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	y
CMC_PITT_169	84.6084322240779	-18.6005946411914	2.60068511742363	6.85893672525985	9.43662999271665	18.6155562263636	-5.42551146116218	-0.964364050978815	0
CMC_PITT_170	110.039571614439	-20.3956815123747	3.10906865569254	1.80386040509208	11.1660988992539	17.0862078327231	-1.80561972545582	-4.48627135768229	0
CMC_PITT_171	-39.2722404629804	46.690222951535	27.9539535960702	33.4534678506845	12.8891398633466	20.152899641651	-7.35894135440919	5.01768454644636	0
CMC_PITT_172	87.8437322901513	-1.24193439502619	1.03519547543121	3.0336704793524	-1.31190346275505	18.2531425015783	-2.03200697456832	-2.07391953074883	0
CMC_PITT_173	-47.3769373846399	37.428809760152	43.1887397758943	55.5579012806423	33.9235037420833	7.88180446582179	-8.80585547999146	0.571973338693723	0
CMC_PITT_174	17.6003911032078	48.3953881245705	14.0375621561748	11.5244551221348	-4.79750042836646	22.2104233360685	-1.09560239914581	2.52206166477957	0
CMC_PITT_175	19.677515311036	-2.44073851749633	26.8666502102787	16.7131866425552	37.8044100544292	13.59579293463	-5.60087549015666	1.77585466261426	0
CMC_PITT_176	100.632964809386	-22.0835315534703	2.89722908379274	3.29278366112747	10.0536410709907	16.5665603454978	-3.34688752671056	-4.37999254236381	0
CMC_PITT_177	92.8726214019639	-8.43671722942922	2.32184043140031	3.01800896319949	3.93958998207105	17.5891595029658	-1.39425020449761	-3.31249571510154	0
CMC_PITT_178	4.04330376434633	31.7462196037842	14.2269703519421	12.2968220792452	8.39026216618717	16.0767765722323	-2.58991635040144	-0.48592301365424	0
CMC_PITT_179	102.484284187332	-16.3027757524541	4.46371922524249	6.82513331949831	13.9347143261397	17.090859445032	-2.41735360227999	-3.40621428263856	0
CMC_PITT_180	80.5661731846648	-0.139885829780816	-0.272294801265559	6.85510520738995	-7.547888943442	20.5766413983282	-3.15154218568252	-0.404053105755477	0
CMC_PITT_181	54.5915999634223	-11.1291407127989	10.2705761875427	14.9405332957304	21.2491587111445	16.2342343612727	-5.05368799780685	1.31067886208609	0
CMC_PITT_182	91.7112896523364	-3.59644372836073	4.07985149090451	3.70598005620356	4.78009346518364	18.3686359183237	-1.17141647766605	-2.8683717441659	0
CMC_PITT_183	15.6122083528424	54.8401567608586	-5.49246359689894	-0.980684585352736	-27.1372440514415	25.6375926778413	-1.99092174079046	1.70396810228341	0
Br1751	103.041482651677	-23.8579568754856	2.98660173820627	2.92692796653512	2.71632087280859	6.21648442589825	1.90931090579223	-4.93292329914706	1
Br1505	77.9946767772591	-9.17084120593055	4.73562709256137	4.11818952499394	-1.91007250076439	-6.42605677116298	4.46994799494226	-2.53627689654095	1
Br1721	88.0308378691508	-14.9213006242792	6.06559922250171	2.01455879597885	2.88691071143736	-2.90584310934024	4.76023067186921	-7.29465502126093	1
Br1690	69.3672321234062	-4.8899576045205	11.0750960774582	12.8714697687551	-1.5832452052301	-6.21633107998637	5.05402975478777	2.29206580574825	1
Br1684	86.2690037858728	-13.2789007595044	8.70718588416245	3.26580260403401	7.13304381749792	-2.26501370684099	4.03311403347728	-6.33796825287827	1
Br1989	89.3003031906594	-16.8771429731612	6.20270000698924	10.45082281983	-0.330165268228752	1.20391634636868	2.37027993970088	-1.74421517154203	1
Br1576	106.432965858657	-22.4308730375442	3.87772962952433	2.74688858288202	4.62509608944869	5.59668063862819	2.56741487848499	-7.4702483227269	1
Br1703	98.9502710496778	-20.4431300551361	5.47961939810358	5.67491632980513	3.71622651895439	5.08579535417572	2.0372895138831	-2.9945918076272	1
Br2038	101.446733047819	-25.4110500655019	5.55908588163825	10.3940615762813	2.71115440866744	8.71016594001082	0.748645102476897	-3.36143668382522	1
Br2261	96.3419630032987	-20.6245108816697	6.07803967289868	6.88509736869146	3.39466039941648	3.79330319515782	2.24983666917606	-4.13617753424052	1
Br2027	47.6335726267665	8.81762418358571	1.43603645596804	-0.640746723634054	-20.9686848724067	-28.796817857975	10.4390044038462	1.13414120488187	1
Br1700	106.97183606726	-25.7180184342565	2.84788241668551	2.81743550132031	4.39184989049739	8.44041643859661	1.13078013015937	-3.21881733118461	1
Br2292	102.088483231002	-15.605560593922	-0.649618459088937	1.70794153500151	-5.72316651727098	-0.158166805179884	1.9313159320175	2.08536701098418	1
Br1729	113.7498686013	-26.8422530451284	1.46783382935633	0.137026475980494	3.86909853433	7.575874056937	1.6030650589999	-8.30031974186088	1
Br1529	92.2426025666175	-22.0333404003199	2.84177747922564	4.34902753077298	-2.11031757634396	3.00896012783456	2.62524987739362	-2.54786559973922	1
Br1672	107.042595085556	-24.5696476874404	1.59866530607223	0.872187070225573	2.35122860434038	5.71999151162071	1.5923673203904	-5.94061234633717	1
Br1693	45.1241622112695	6.02179692668383	6.62247366349953	-0.981549318807432	-3.07042593579543	-25.138000035189	8.53590410109745	-1.35201290952396	1
Br1676	102.854312643966	-22.1617690026392	3.75075653758622	0.498028759094212	5.43665565741638	5.3103973839877	2.05874039391402	-5.1998989524394	1
Br1507	102.340126684676	-24.8576722781276	5.6934486675858	6.79362932252293	6.02221723474572	7.08363614706081	1.04977461758705	-6.41402183197952	1
Br1682	101.522907576189	-20.490363709536	2.50869662877603	-3.88281656519914	5.60222053581947	-1.78591692653134	3.84051863783734	-15.5485771860155	1
Br1081	120.766346356062	-28.5915132848487	1.12678476353677	2.03792393223008	3.69281191495466	11.8312240795129	0.430450391459249	-4.84722668986642	1
Br1425	108.122750096323	-26.7082061493965	4.35891753406734	5.99641808707278	5.59468097716233	10.5017415364316	0.987877218495652	-4.10724374136721	1
Br2271	94.080734993494	-18.0648922785276	2.15056157989388	1.58407780589889	-1.4866449980304	-2.00174408073063	3.50553009838509	-5.63360256554505	1
Br963	107.441715500693	-26.6431646644095	2.56307144264691	3.60371955907988	4.762007565302	6.76806447817082	1.5219481496482	-8.35636605040977	1
Br1178	68.5426647293295	-7.35800450977098	12.0164266803705	19.1612863869744	-1.70158429319288	-3.96850529183706	3.4297436255073	1.80443631099702	1
Br1084	93.0342583160516	-16.5923585485727	1.16650321856504	-1.17991797456433	5.49124881609367	-1.33636268441345	2.04413050477765	-4.24238056001934	1
Br1740	100.627076924973	-24.4988249884207	5.1826264083093	5.77655122731807	6.1381054366036	7.09252247997443	1.24119201481235	-3.76675561024554	1
Br891	69.1804822677073	-1.1135108994229	9.71755485202966	8.9588862093519	-3.07816585433827	-10.6965493884838	5.96272188376045	0.601867799700808	1
Br1269	80.324551173614	-22.9816146381992	6.21117754186485	10.7039944125443	0.19444766974632	3.12207816609067	1.28040361132845	-3.15330268302915	1
Br2371	95.2052073753228	-19.6771567479196	4.40044345783627	5.24764756405431	1.35653315975603	3.20717588846621	2.44736133126606	-2.84689132127718	0
Br1552	105.397613150821	-25.5816379072455	2.68419814152144	4.79948086593011	3.09942593885172	8.04407837593249	0.100383762873998	-3.44524521416139	1
Br1663	106.492042761111	-25.5757725548357	3.5904139514549	3.08851664262775	6.39014996858706	7.31859107687328	0.886828491173618	-4.83429629519921	1
Br1399	105.10872683761	-24.5156301307956	2.52372629290112	4.20820518937902	1.24535834194755	6.35466151987734	1.76069658761637	-5.57960461102749	1
Br2020	64.0180308337202	-7.76808362734305	8.99370877029123	8.77485787113098	0.634939045715139	-10.7714259165858	5.83219478254354	-5.71481200843604	1
Br1485	110.247151149266	-23.1454047159805	3.22278560420903	3.75308839278474	3.29762195225979	7.28456140149158	1.7825207349957	-4.7647059793504	1
Br2009	115.666655322678	-28.8580739554751	2.2879744106008	8.09602000016314	0.420247897558625	12.0894632228348	0.429757429646585	-4.33402952644362	1
Br855	118.825209662376	-24.4787282774912	-0.213228682916525	-3.87607770822839	3.9556514668448	6.46064525450263	2.2567240662239	-8.38951493017245	1
Br1665	112.709208919945	-27.3557380299321	1.78742182860165	2.88243516170232	3.89377258141535	9.55473359644734	0.391761364823408	-4.30439376961923	1
Br1139	103.270775068623	-23.4164502923014	3.82015157971101	5.8188742218115	1.77043138834585	7.03126606807613	1.45886649051392	-2.15411179582371	1
Br888	114.248955172034	-27.7006631743191	1.75606846410891	5.5483731425565	2.57138573227491	10.5025476481776	-0.204926405480458	-4.06712109135153	1
Br1646	111.26559978375	-22.9803476595373	1.15660598767381	-1.53430494018104	4.03750802045767	6.96578991180493	1.65857185303838	-3.03535386371004	1
Br1315	100.495887285398	-20.7205836564279	0.976905541471359	1.96838693765956	1.26737185922066	4.44525514191336	2.24658712868762	-2.15053685393805	1
Br884	105.284894486228	-26.8844466926412	4.86983394437439	7.37962903434983	4.9881225253641	9.68819703036861	0.58816167623041	-3.65416121947488	1
Br1245	108.44360162571	-20.3055852569122	-2.15047861383293	0.0720741293258236	1.02102393918342	4.74036628287276	1.30991752179787	0.390739780294545	1
Br1298	116.951621726057	-28.2037554014423	1.69915776042496	5.12198940935412	1.51659495900158	11.5640136456471	0.535269942155043	-4.54291129027134	1
Br1280	101.551826305064	-19.8597498015511	-1.38891958884733	-0.904805715260771	8.15544366280893	4.21179267080857	-0.392130675849011	-1.04287820485393	1
Br1303	100.288907906416	-22.8499099262185	2.65529357337404	2.6127409647141	1.68012873766727	3.51478578484699	2.17710330317695	-5.87605857784544	1
Br1436	113.230327122996	-26.6344717912604	1.28200710261032	-2.31439606572611	7.54407094693428	6.98944027665105	1.29964957276759	-9.7389011900549	1
Br1579	91.4557932330255	-19.2992776533403	3.47890618207119	4.96754871130946	4.0998794045244	3.04412524677205	1.08128625323537	-0.251852108058998	1
Br1585	98.5199631043729	-20.9890564138706	5.15854475494909	7.64915609346491	2.7493435611653	5.60884750038328	1.85801989750748	-1.75958931910848	1
Br1594	94.0398202034585	-13.3888899768668	5.42261049812115	3.04250993840209	0.114855484744045	-0.159889461948688	3.70126834109858	-0.305497840341849	1
Br938	108.398961293976	-23.638202521396	2.33276962288237	-1.08524957918762	5.35429640622433	3.65826746020045	2.57324934721365	-10.8776115932192	1
Br1371	87.1133692770661	-17.4805626446414	6.72609113719902	9.04715401937209	-0.0659168248255189	3.14145248954656	2.44619114940944	0.283162245419099	1
Br1418	83.7970094270414	-6.84034086364383	3.34051397589676	2.58675176247928	-6.53005438542001	-7.95070122068711	4.74021701034571	1.81708575148229	1
Br1580	117.899934359181	-23.4996535831294	0.923601795970513	-0.131872659868333	3.75404334973815	9.24334877968103	1.68321476967255	-2.45882959625245	1
Br1664	113.472461243065	-26.3078358190742	3.18690492305867	1.62429460774415	7.00664064187331	9.04554291759441	1.80076506297352	-8.4275845624981	1
Br1102	114.46412773309	-26.814381813036	1.87521315968293	2.79541003291411	3.74096711475844	9.02525560206614	1.1040844432211	-6.99715046068406	1
Br1591	107.92722956407	-19.183551514677	3.7935953495851	0.135647285900617	5.3974545276985	3.94840844834421	2.5665207492121	-5.78102998380611	1
Br1016	102.289761382661	-25.906404862813	5.43806484231286	10.9586654077555	3.05266850471692	7.58797055822881	0.334045138704432	-4.9499779798457	1
Br1320	107.895023235748	-25.1835292435815	3.66886801704613	4.2546699988854	4.04206826756962	8.40326557773693	1.14888661844334	-4.61345795559972	1
Br1453	100.515583164839	-13.985465789437	1.25181872930266	-0.3060357710113	-1.63931170755963	0.798680643841709	2.44413277600259	2.16735715743198	1
Br1265	99.7872617108181	-21.8399944596502	4.29493563409396	2.24326002187061	3.35717680042314	2.99113336332705	2.91279449844236	-8.24917669198637	1
Br1041	101.495759963286	-18.1891195918628	3.41327365851976	-1.99397450181798	5.77923219857624	-1.74137097141245	3.85663900064637	-12.8111945012358	1
Br1578	94.1498762875985	-16.4762352916363	4.71451411534074	6.44163173077886	-1.35942935512153	1.27214788921852	3.09056313595776	-0.569543349742745	1
Br1093	46.6608917468702	13.2418200421375	4.86391443570864	-5.15162311131022	-13.2894211571974	-29.1286590740829	13.8201089184305	-3.11344584436215	1
Br1067	101.838872177895	-26.9546937573041	4.9150937267031	4.92123061391761	6.82823056530868	7.52194165240791	1.02751693306028	-7.41506682460883	1
Br978	95.2899648827387	-22.1820881218694	6.01378454865852	8.93027043129736	5.07188833493029	4.11502032930116	1.56883691960252	-7.54865353471451	1
Br1427	111.321049721365	-25.9493958293401	3.46936343263079	4.36312325192776	4.57888526742865	7.95787770472124	1.72694600600776	-7.08784750907883	1
Br1637	111.4396117485	-26.6027708990987	1.85926760476306	2.55941007208818	3.34165478498091	9.66635204810388	0.78860762669269	-3.94937504998307	1
Br856	99.8298017803742	-23.2216336042404	5.09728277196182	9.77939001780098	-0.13609108836805	7.70277312134678	1.83166348586845	-1.99999300096289	1
Br873	32.4523426229724	17.1104768576562	7.58760182250223	-2.68939777780909	-12.9079834509554	-30.6760509985467	11.9404703217125	1.61656795309285	1
Br1431	106.105807078526	-23.3792384034051	2.80022030033777	5.98647253296706	0.61936657895316	7.1642867680585	1.53388867157319	-3.40005669201965	0
Br1851	105.668777287371	-26.1941407041142	4.00156271160732	8.38801835550369	2.33044248970925	7.25376562696038	0.183575017758985	-6.49968950794583	0
Br1531	93.5280018290363	-20.5137743307632	6.90758082810977	10.4572173625889	3.95538936845781	3.22257529819961	0.829156940384386	-4.40983137067069	0
Br1706	93.1535077441037	-21.6415925262554	5.90925441632717	9.16104627543001	1.51412052281932	2.00137455508687	2.55524848849645	-6.93617108720712	0
Br1548	103.958999842626	-22.810124071844	4.22924189898053	6.95578281453135	2.06057680653596	5.41369747629531	1.37586448923472	-5.64876889172778	0
Br1963	114.084899223573	-26.7164486195954	1.46633098774484	7.28235087180549	1.43038361410503	9.87146580405215	-0.741590383491338	-3.80716527704701	0
Br1879	111.289498536134	-25.8594578343873	1.96802908629482	1.54171565389199	7.43543029626323	8.07116483131581	-0.749858718366526	-4.99378083272975	0
Br1539	111.202191673378	-24.9640634982602	2.31877969086051	6.04995136558016	0.380292802944772	8.452193843975	0.813948212506363	-4.01591136608722	0
Br2005	113.258206536498	-28.7096848470389	2.74864603213424	7.63503594305067	2.18427185511089	10.7371520627823	0.0595475023782475	-5.41528846823523	0
Br1279	93.2455699200877	-21.819439722924	4.55344485425824	8.66735736919283	1.1973898836678	2.41742083269548	0.505281639109008	-3.49904837109607	0
Br1324	99.6861238273712	-22.0637292311826	5.84592082333988	6.32743315155577	6.14017304616861	5.10506162699987	1.67778585795298	-5.75967220617231	0
Br1271	105.338150134349	-25.7121669585824	3.4694988450338	8.14673413241098	5.1553994044884	9.01019444678294	0.133029331768984	-4.19211370748972	0
Br1380	89.9602113023461	-19.5391647341592	5.44871651485247	13.7227733814254	3.57888653288869	-0.836493431896527	-3.39034351572365	-0.168907402280336	0
Br1424	102.096021279439	-25.0047851292746	5.36425931036909	7.71302075195061	3.4723461718433	7.38567739859258	1.56506640735295	-5.42457851657263	0
Br1281	106.796153768009	-29.0408759736912	3.68756790964638	8.07126646027215	4.67146285693665	10.4200771887651	-0.256945368045994	-4.76431409322116	0
Br1250	97.9936724013598	-21.9102245649494	5.83463937748862	10.1839870105726	3.82937183402565	5.73803380263933	0.39853605470679	-3.37848281187403	0
Br2053	101.293839246913	-21.1345656490801	2.63038903433344	5.25539684110664	-0.924262652354722	4.79736527971527	1.70368048181832	-2.0158615612244	0
Br1657	98.6208971508083	-26.4022207309583	5.17054571380583	8.14440029153942	4.4536131405883	6.89833682300551	0.64428305830473	-6.05767381270703	0
Br1443	106.663251245439	-23.6468393666494	3.1744653608006	0.912091962175484	5.55313318183214	4.48040809795768	2.13851644461343	-9.76883945933172	0
Br1342	92.0480246850215	-23.8972139256135	2.70342146927979	13.148123557547	-1.4487389466885	0.799301129934389	-3.13881767490253	-1.60722500215921	0
Br1275	106.390779370585	-22.9003888396531	3.1099189893221	1.133070873216	4.15882569824528	2.91607189328862	2.58235331310475	-11.1853213443265	0
Br1405	109.474299125026	-24.9727884053889	2.91226698456375	4.77052526101583	1.97949348755814	6.07667786618955	1.74947071935946	-8.58641876494987	0
Br1581	105.820114756238	-26.8511669284346	3.1250999052406	6.99042848672448	1.46952171297527	7.78626631096433	1.08350925493035	-5.74953201600824	0
Br2046	93.3075575337326	-22.4666661444535	6.17812457054077	6.29055232825243	5.69884405409023	2.69217442436372	1.86812854144631	-7.02167859989238	0
Br1965	120.149494058278	-28.7861045370217	1.08173554056109	4.62434516561743	2.95119722644875	11.4587019739708	-0.502891817283756	-5.53075923184334	0
Br959	118.995802650275	-29.9675703221354	1.14154697494412	4.03456475417943	3.70122332931753	11.9026700950468	-0.487164580582933	-5.32368780003514	0
Br1858	115.381872319478	-27.1928864217593	2.17573957353552	0.873089452745034	7.05582007533302	7.80320359524262	0.910090885913608	-10.157219648666	0
Br1504	106.942117391	-25.0189936174025	1.17144505847363	-3.12490607411853	4.30743517422301	3.03053005002222	2.87392530397586	-12.1526911671152	0
Br1204	119.287459129927	-27.9714793306369	1.02216124155062	2.24108902938535	3.52847325393846	10.6914016847165	0.331032233663309	-5.57064889070435	0
Br1878	103.32760659739	-24.2759320288643	2.44507188941617	8.34590076382944	-0.545260088192879	5.28072628703329	-0.433714106726418	-3.97482490730356	0
Br1384	109.971397572695	-23.5800037058716	3.08868656886772	3.84300872374201	2.99349966495988	8.28480060277976	1.27023578709326	-2.83485253489761	0
