subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12
sub-11131 -35.7511 11.7504 -5.3572 -31.9314 -39.3121 -14.5876 -22.8824 -8.1849 -23.6085 27.4603 -7.4166 1.1749
sub-11142 -10.3605 -45.4187 55.1441 -23.827 41.9222 -16.4591 4.9342 -24.5544 24.8095 -0.0791 -31.8417 5.2165
sub-11143 -26.3404 16.5786 -13.7409 -18.7355 2.8049 5.8053 -25.108 -4.5699 -7.5155 3.0995 -5.2234 -10.4229
sub-11149 7.109 36.0543 -13.1994 -20.4708 -3.1897 -5.6101 -7.1852 -3.708 8.3794 37.0866 -13.5408 0.525
sub-11156 -97.1211 -89.7862 -49.5953 11.9838 -24.0751 1.4296 -38.0128 36.6468 -46.0232 27.5297 12.8808 1.3221
sub-50005 -60.7839 7.9308 -67.1505 17.7697 -29.071 -7.4097 24.4771 15.0652 -27.2643 10.1391 28.364 -51.1762
sub-50007 -33.3502 21.4245 -41.9839 9.8608 -39.3004 -36.8908 9.5219 11.5776 -57.0421 27.8006 27.4078 -30.6677
sub-50008 73.4554 2.7172 75.2293 6.7378 113.1812 296.1271 55.7566 -86.7287 -251.1237 -185.8615 -65.7624 -69.1194
sub-50010 16.0468 -1.8222 -17.6941 15.1255 -10.4516 0.9012 5.6274 25.8476 -0.0809 -5.0204 23.6361 13.3455
sub-50013 -12.5428 34.5843 1.1549 27.443 23.3587 35.5615 11.6893 2.3223 -4.1753 19.7368 9.3735 30.4366
sub-50014 -39.2788 -54.6309 -32.8234 1.4975 -21.67 17.4791 -3.1183 -21.4796 5.9024 3.088 -1.9727 -22.7951
sub-50015 -28.5289 -57.3281 59.1506 -34.2021 -48.9923 -35.034 42.5603 -55.5923 4.1404 10.8468 -2.1758 -102.9566
sub-50021 -14.9213 -15.6931 26.9451 -39.4624 -39.1145 -12.5077 -39.5964 -8.7914 -28.4004 27.8975 -12.4723 -45.0513
sub-50023 27.8877 65.2147 9.9526 -40.3482 -17.9076 -0.6036 2.626 -14.7935 -8.5049 20.9052 -8.68 -10.5637
sub-50025 -28.8187 -6.3277 -39.9656 -6.767 -38.795 -3.8991 -2.4175 2.2289 -10.4838 11.9486 -6.5996 -11.0401
sub-50027 -26.518 44.9078 -24.9248 -14.8621 -10.404 -36.3121 18.1547 7.2326 -46.4042 42.7278 13.3221 -29.8094
sub-50032 76.0155 54.8753 31.5943 2.3206 -22.8395 13.5983 0.1482 16.4124 32.6737 -21.6253 7.5772 -13.685
sub-50033 25.7309 0.0561 30.164 21.4082 -23.8225 32.8337 5.6007 -31.31 -11.6468 3.4749 1.2747 7.1489
sub-50034 -6.4937 -27.4043 -84.2633 10.8905 -5.1817 15.6626 -30.4179 15.7986 10.2787 -5.8139 -6.3131 1.3179
sub-50035 -31.0761 -24.7504 22.1851 2.8221 23.9087 -25.742 22.5201 -10.4214 4.1479 -23.6698 26.8874 33.0535
sub-50036 -8.9349 38.2718 -45.1726 -14.0018 -4.6684 14.4902 -2.954 -10.5895 11.3235 -0.3023 -10.5237 -17.4834
sub-50038 45.6339 -40.8936 -9.4402 -19.75 -44.2916 14.5603 -36.1551 1.5067 30.6843 -33.5592 -25.9936 19.699
sub-50043 -4.0568 21.6644 -27.0065 4.1877 -5.2082 14.3849 -5.2727 -19.7467 22.3741 1.5235 -15.2552 7.4707
sub-50047 9.5463 71.3188 13.2659 -20.7755 -39.6758 7.8192 -4.824 -12.9696 -14.4936 -9.4415 -0.2889 6.8611
sub-50048 49.447 72.253 25.9094 -17.5153 -48.9588 -12.8264 10.6733 13.7462 8.4584 -15.2287 -0.2603 -16.7032
sub-50049 -20.2574 58.1809 -15.4704 -20.4663 -12.2709 -9.4482 9.1921 0.3996 1.4288 -5.6043 -1.967 -14.0122
sub-50050 -12.8578 -44.8217 -16.1815 3.8422 -2.1653 23.9709 -36.7055 -4.1393 1.2282 11.0873 8.0789 -31.0721
