subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-2006 13.0299 72.6146 48.2591 -31.2118 65.0663 -43.4234 47.8418 23.4291 -77.7496 -41.9298 -16.5569 17.9943 34.4653 18.1147 -26.3672 -55.7844 -6.5115
sub-2007 39.9363 -8.3408 -67.7961 -25.5784 -5.6079 -2.2818 33.0807 11.6046 14.0584 28.8591 42.8661 4.0414 16.3209 -5.485 38.8116 14.6812 -4.624
sub-2008 -56.5699 -72.635 35.3498 14.4944 -20.0714 -21.7148 3.0327 -6.2131 37.6909 1.3526 11.6633 5.105 25.7206 15.0566 0.0513 20.9276 -14.714
sub-2010 -7.5792 -61.802 39.9202 20.4745 58.0684 8.5825 2.5198 -44.6252 -30.7011 48.9661 -13.0872 -26.5637 -66.3785 -71.186 1.2992 -33.0143 -8.3899
sub-2012 69.8207 150.9315 62.4601 0.6456 -62.7443 -26.5851 40.7619 -119.9619 -2.8384 10.9636 -10.9902 39.1338 16.979 28.4655 -36.0534 17.684 -29.8879
sub-2014 -89.7127 24.9648 -89.7401 -26.0706 48.7004 57.9402 60.8429 -48.5686 30.655 69.8157 -1.7242 53.1351 22.4648 55.051 -45.9243 -20.3857 24.1236
sub-2015 -45.4629 4.9605 18.5944 -2.7393 38.3656 27.5675 45.2911 -1.319 -39.6189 26.5482 50.6577 4.4274 44.2899 24.7744 35.211 1.0673 42.2007
sub-2016 3.0403 -68.8778 -2.9335 -2.9428 3.6447 -5.8808 -17.5446 -1.3794 15.7672 -20.6739 24.4856 -5.4678 -10.9913 -5.4722 -13.031 -23.5047 3.2011
sub-2019 51.8775 -51.6067 -15.8429 96.3291 2.7496 -14.8556 -135.5328 -106.9882 -65.7798 -33.8084 -7.3109 -29.5372 64.8517 -41.2905 13.8683 -31.8872 50.4103
sub-2022 -27.3291 -73.0405 28.1822 16.6678 20.4624 5.5022 -33.6291 -33.2458 0.7012 -1.4618 -9.402 45.3267 -5.6101 -32.1816 -9.8168 -23.7762 -1.3148
sub-2023 46.6749 97.8813 -124.2742 -87.7171 -10.1667 0.4321 28.3262 23.4486 44.4603 48.4379 -9.5323 -62.3383 -26.7658 -22.3619 24.5126 -43.4724 21.9697
sub-2029 -117.2908 96.1721 22.3715 -4.3316 -42.1728 16.8043 -2.5987 28.5528 -8.6925 -17.1403 -13.7735 68.7686 13.2261 -18.1944 48.825 31.3739 20.2903
sub-2031 -24.0918 -25.0225 10.5357 10.3614 -46.7448 -29.4632 -11.635 -8.8652 11.5076 31.3179 38.0145 -19.9262 -21.2863 0.0693 -30.504 -31.0058 41.5586
sub-2033 159.9032 39.8585 -1.0633 79.5611 31.2739 -12.245 -40.9268 -54.4541 7.1772 -38.7154 -16.8057 23.5024 4.8771 -35.0934 -40.7374 -9.9483 -39.917
sub-2038 16.5617 -62.3554 -4.5707 28.3802 9.324 -1.9012 -42.9279 9.7934 11.6155 5.3798 -3.5424 17.6856 -14.2057 -12.7896 -29.4808 -34.4619 19.3791
sub-2040 39.2777 -0.1386 -73.1571 -41.8935 18.4641 -38.1712 -1.1577 23.9138 -30.1144 46.4306 2.4439 51.0495 5.207 -0.3127 20.7341 -58.341 15.2899
sub-2042 30.8548 -29.157 -19.1977 32.8899 -2.4755 -24.0679 -21.6926 10.0165 14.2369 3.9329 16.0734 -10.6459 -20.3328 31.4142 -35.633 -5.5268 9.6494
sub-2044 91.7935 57.3369 9.0906 66.2836 -57.52 -7.878 -0.3825 61.722 32.8313 54.1589 53.0772 -1.2602 -9.229 0.75 -65.4686 -7.3128 14.9933
sub-2045 15.6539 3.7152 -48.5253 31.0156 -64.4541 34.0039 -42.416 80.9137 30.7161 69.4715 4.3774 -20.0069 40.0807 -10.2745 -22.264 22.0908 27.0333
sub-2046 -250.874 97.9222 -198.6656 155.5925 18.1406 46.3435 108.1128 -55.5263 13.8072 -91.5655 46.5389 120.7982 -93.582 -18.7155 18.9009 -51.6281 -46.4478
sub-2048 -103.1243 101.9846 -40.0318 -30.8995 -121.484 25.7177 -71.2057 -3.3493 61.692 -100.7501 -104.663 -40.0953 -49.7792 62.8862 56.2197 -47.3519 52.2726
sub-2049 -162.4899 24.1705 -46.9315 81.487 11.3437 -9.3363 25.9149 -30.0783 -14.7862 -48.3613 -19.2682 -13.3283 45.0784 -6.203 -10.7292 -22.8121 17.5062
sub-2052 29.4333 26.9459 -15.8072 38.4366 -66.164 -67.7469 -8.5238 50.0117 -68.5549 61.321 38.0516 10.3082 -0.7389 10.9869 -4.4424 -42.826 19.7575
sub-2062 47.1798 -17.8609 -8.7388 -0.2713 9.7902 -7.8053 -28.9423 -52.6097 -21.6795 -15.3303 7.8941 -26.4838 -23.2677 -45.167 -33.5256 10.0077 -23.4064
sub-2065 9.4674 -54.46 22.4775 48.9742 39.9507 6.5351 -20.6936 -82.2592 -8.6052 62.4482 8.5647 -4.4212 -40.9596 -61.4332 53.8437 54.2432 2.597
sub-3001 40.9639 125.4935 28.8223 -61.3061 86.61 118.4201 -58.7444 63.1031 -31.8373 -26.3779 -2.3983 28.7764 -28.9271 54.8022 -12.4161 16.8293 -27.5909
sub-3002 -130.3148 52.4688 -47.2982 69.2672 51.1215 7.827 57.5364 -52.4326 -21.853 13.1968 -22.5565 -19.6415 40.6145 7.0278 68.8369 44.9769 -0.1631
sub-3007 49.2399 -4.1636 -16.8561 4.7185 33.9151 23.2941 -34.2497 7.7444 0.3681 -38.4047 21.7388 4.77 23.5152 3.342 -34.1657 7.4433 23.6716
sub-3009 109.5513 61.5516 -100.929 -15.1977 10.6814 -27.6976 23.6192 -18.1817 -19.0322 20.7473 33.4803 -25.8688 29.6058 13.8896 -1.0513 -22.351 44.6288
sub-3017 -44.154 -6.6788 -124.4329 107.0148 -1.1062 86.7049 37.4542 73.0196 21.1875 42.3673 -144.222 -51.7862 101.1074 -55.4456 -106.498 73.5553 -37.9103
sub-3020 4.6846 -65.2337 21.7035 -58.8565 -46.6147 65.0502 15.4255 -14.5233 -43.6221 -57.4698 39.489 -22.4256 -14.3371 15.1125 -24.4331 43.3314 -2.3572
sub-3021 78.1097 14.5767 -18.0595 34.4563 3.1055 -11.0022 7.2153 -31.3555 -96.0022 15.8695 -21.1504 17.5345 2.2729 -52.142 -20.5992 -21.8217 34.1271
sub-3022 27.9439 49.9654 0.9757 -45.5011 28.4623 48.2723 11.174 34.5681 3.5309 2.5848 -21.8017 20.6971 8.1619 -12.2256 34.2351 30.1716 -3.4272
sub-3025 46.9458 13.6489 -113.0073 -21.2189 53.9212 -36.0854 -23.8515 24.9885 16.7492 -7.0158 39.1281 -28.9874 -15.4011 -4.6791 31.9942 -30.2319 -67.2981
sub-3026 66.9607 16.3182 -24.6942 83.0159 5.5194 -1.0155 -60.8418 -20.1079 2.8763 24.7601 -4.6595 -1.6722 -43.7419 46.3517 -19.1524 -12.384 -13.9133
sub-3027 26.705 -30.2001 24.8469 -4.3195 -50.0594 15.999 55.0011 42.6213 -58.1504 0.5593 -7.711 -23.4078 -22.4837 -11.4396 20.3013 -32.4449 -20.4447
sub-3028 -101.8357 -44.0913 -37.0344 39.3224 -23.3046 1.8268 -59.7245 -53.5423 32.6653 8.8722 -22.9742 -13.3152 54.7304 -21.0158 34.7477 -42.0957 9.5981
sub-3029 -161.7986 89.3185 5.2024 -7.7149 1.596 -41.6231 -33.4391 17.6997 -35.9058 -15.8561 43.9918 -59.9576 3.3462 44.1011 -4.1059 6.9566 17.8567
sub-3030 -120.7285 47.9638 56.0211 50.326 -13.6405 -80.6803 25.1686 -1.1996 -45.1951 -22.3763 53.881 -0.1273 -0.244 2.7509 -31.8901 37.4118 18.5521
sub-3031 -138.5298 35.9159 14.2024 -22.2579 43.3202 8.1899 23.6747 -44.7326 22.6762 -6.1098 -16.3597 -30.0989 -10.8161 -3.124 31.0985 20.7023 3.9159
sub-3032 21.8456 94.3639 43.2653 23.8571 23.8487 -90.095 -17.4377 18.6733 9.7298 -19.77 -39.3738 53.3768 9.2303 -0.137 -36.3403 24.4978 5.612
sub-3034 57.7697 10.8971 -7.6057 4.2693 -1.6965 -20.1835 -15.7465 -13.5074 23.0887 21.0941 22.4948 -9.9253 -23.5323 -16.4385 -10.4157 19.3597 7.7162
sub-3035 -150.0118 3.3214 4.5756 21.55 -18.6128 -8.6203 45.0038 -24.2923 -10.687 -38.0992 -24.5554 52.3142 -7.3891 -28.5586 28.0275 -23.3259 2.3678
sub-3039 62.3874 -31.1403 -3.2578 42.0111 9.5231 -58.8904 -74.5967 9.5419 17.1052 -43.591 -62.8287 54.2609 -63.6994 62.9474 30.5309 7.4708 -62.1149
